Date,BTC,ETH
05/06/2018,7633.759766,609.302979
06/06/2018,7653.97998,607.124023
07/06/2018,7678.240234,605.187012
08/06/2018,7624.919922,601.077026
09/06/2018,7531.97998,597.562012
10/06/2018,6786.02002,526.479004
11/06/2018,6906.919922,533.283997
12/06/2018,6582.359863,496.842987
13/06/2018,6349.899902,477.493988
14/06/2018,6675.350098,519.742004
15/06/2018,6456.580078,491.003998
16/06/2018,6550.160156,499.641998
17/06/2018,6499.27002,500.447998
18/06/2018,6734.819824,518.890991
19/06/2018,6769.939941,537.95697
20/06/2018,6776.549805,536.268005
21/06/2018,6729.740234,527.367004
22/06/2018,6083.689941,465.816986
23/06/2018,6162.47998,474.519989
24/06/2018,6173.22998,457.671997
25/06/2018,6249.180176,460.309998
26/06/2018,6093.669922,432.772003
27/06/2018,6157.129883,442.36499
28/06/2018,5903.439941,422.36499
29/06/2018,6218.299805,436.009003
30/06/2018,6404,455.179993
01/07/2018,6385.819824,453.917999
02/07/2018,6614.180176,475.346985
03/07/2018,6529.589844,464.195007
04/07/2018,6597.549805,467.317993
05/07/2018,6639.140137,474.411987
06/07/2018,6673.5,474.011993
07/07/2018,6856.930176,491.660004
08/07/2018,6773.879883,489.118988
09/07/2018,6741.75,476.682007
10/07/2018,6329.950195,434.424011
11/07/2018,6394.709961,446.518005
12/07/2018,6228.810059,430.074005
13/07/2018,6238.049805,434.027008
14/07/2018,6276.120117,436.085999
15/07/2018,6359.640137,449.850006
16/07/2018,6741.75,480.65799
17/07/2018,7321.040039,501.002014
18/07/2018,7370.779785,480.513
19/07/2018,7466.859863,469.618988
20/07/2018,7354.129883,450.697998
21/07/2018,7419.290039,462.436005
22/07/2018,7418.490234,459.657013
23/07/2018,7711.109863,450.852997
24/07/2018,8424.269531,479.372986
25/07/2018,8181.390137,472.493011
26/07/2018,7951.580078,464.036987
27/07/2018,8165.009766,469.665985
28/07/2018,8192.150391,466.89801
29/07/2018,8218.459961,466.665009
30/07/2018,8180.47998,457.080994
31/07/2018,7780.439941,433.867004
01/08/2018,7624.910156,420.747009
02/08/2018,7567.149902,412.621002
03/08/2018,7434.390137,418.261993
04/08/2018,7032.850098,407.252014
05/08/2018,7068.47998,410.515991
06/08/2018,6951.799805,406.65799
07/08/2018,6753.120117,380.214996
08/08/2018,6305.799805,356.613007
09/08/2018,6568.22998,365.588013
10/08/2018,6184.709961,334.175995
11/08/2018,6295.72998,322.112
12/08/2018,6322.689941,319.570007
13/08/2018,6297.569824,286.494995
14/08/2018,6199.709961,278.932007
15/08/2018,6308.52002,282.364014
16/08/2018,6334.72998,288.04599
17/08/2018,6580.629883,315.729004
